Month,L,M,S,reference_source
149,0.1,18.46,0.1,synthetic_demo
150,0.1,18.5,0.1,synthetic_demo
151,0.1,18.54,0.1,synthetic_demo
152,0.1,18.58,0.1,synthetic_demo
153,0.1,18.62,0.1,synthetic_demo
154,0.1,18.66,0.1,synthetic_demo
155,0.1,18.7,0.1,synthetic_demo
156,0.1,18.74,0.1,synthetic_demo
157,0.1,18.78,0.1,synthetic_demo
158,0.1,18.82,0.1,synthetic_demo
159,0.1,18.86,0.1,synthetic_demo
160,0.1,18.9,0.1,synthetic_demo
161,0.1,18.94,0.1,synthetic_demo
162,0.1,18.98,0.1,synthetic_demo
163,0.1,19.02,0.1,synthetic_demo
164,0.1,19.06,0.1,synthetic_demo
165,0.1,19.1,0.1,synthetic_demo
166,0.1,19.14,0.1,synthetic_demo
167,0.1,19.18,0.1,synthetic_demo
168,0.1,19.22,0.1,synthetic_demo
169,0.1,19.26,0.1,synthetic_demo
170,0.1,19.3,0.1,synthetic_demo
171,0.1,19.34,0.1,synthetic_demo
172,0.1,19.38,0.1,synthetic_demo
173,0.1,19.42,0.1,synthetic_demo
174,0.1,19.46,0.1,synthetic_demo
175,0.1,19.5,0.1,synthetic_demo
