Month,P3,P50,P97,reference_source
149,142.35,153.35,164.35,synthetic_demo
150,143.0,154.0,165.0,synthetic_demo
151,143.65,154.65,165.65,synthetic_demo
152,144.3,155.3,166.3,synthetic_demo
153,144.95,155.95,166.95,synthetic_demo
154,145.6,156.6,167.6,synthetic_demo
155,146.25,157.25,168.25,synthetic_demo
156,146.9,157.9,168.9,synthetic_demo
157,147.55,158.55,169.55,synthetic_demo
158,148.2,159.2,170.2,synthetic_demo
159,148.85,159.85,170.85,synthetic_demo
160,149.5,160.5,171.5,synthetic_demo
161,150.15,161.15,172.15,synthetic_demo
162,150.8,161.8,172.8,synthetic_demo
163,151.45,162.45,173.45,synthetic_demo
164,152.1,163.1,174.1,synthetic_demo
165,152.75,163.75,174.75,synthetic_demo
166,153.4,164.4,175.4,synthetic_demo
167,154.05,165.05,176.05,synthetic_demo
168,154.7,165.7,176.7,synthetic_demo
169,155.35,166.35,177.35,synthetic_demo
170,156.0,167.0,178.0,synthetic_demo
171,156.65,167.65,178.65,synthetic_demo
172,157.3,168.3,179.3,synthetic_demo
173,157.95,168.95,179.95,synthetic_demo
174,158.6,169.6,180.6,synthetic_demo
175,159.25,170.25,181.25,synthetic_demo
